id,
B02201052,
B04203016,
B05209034,
B06303017,
B03501132,
B06502001,
B06502003,
B06502004,
B06502005,
B06502006,
B06502007,
B06502010,
B06502012,
B06502013,
B06502014,
B06502016,
B06502018,
B06502022,
B06502028,
B06502031,
B06502032,
B06502033,
B06502034,
B06502036,
B06502037,
B06502040,
B06502041,
B06502044,
B06502045,
B06502046,
B06502048,
B06502049,
B06502051,
B06502052,
B06502054,
B06502055,
B06502058,
B06502061,
B06502064,
B06502065,
B06502067,
B06502068,
B06502070,
B06502071,
B06502073,
B06502076,
B06502079,
B06502082,
B06502084,
B06502085,
B06502088,
B06502091,
B06502094,
B06502101,
B06502104,
B06502108,
B06502109,
B06502110,
B06502111,
B06502119,
B06502123,
B06502128,
B06502131,
B06502132,
B06502133,
B06502134,x
B06502135,
B06502136,
B06502137,x
B06502138,
B06502139,
B06502141,
B06502142,
B06502143,
B06502145,
B06502146,
B06502147,
B06502149,
B06502150,
B06502154,
B06502155,
B06502156,
B06502158,
B06502160,
B06502161,
B06502164,
B06502166,
B06502167,
B04502145,
B03502140,
B03502155,
B01504037,
B06611042,
B03704038,
B05901055,
B03901193,
B06902110,
B03B01007,
